Country Code,Country Name,Region Code,Region,2012,2013,2014,2015,2016,2017,2018
AUS,Australia,EAP,East Asia & Pacific,53382.55281,53834.80701,48664.38619,44267.57913,39055.24183,42000.8897,43990.13708
BEL,Belgium,ECA,Europe & Central Asia,36994.18558,38719.17408,39498.79678,33821.21615,34477.79926,36240.05792,39066.43551
BHR,Bahrain,MEA,Middle East & North Africa,17307.68788,17427.02775,17396.86772,17402.96807,18199.44526,18978.66573,18979.43766
BRA,Brazil,LAC,Latin America & Caribbean,10454.60962,10581.80628,10371.61238,7619.185819,7530.482645,8547.176508,7737.671235
CHN,China,EAP,East Asia & Pacific,4799.854928,5273.57202,5799.901238,6039.919271,6145.894329,6714.785783,7378.394948
COL,Colombia,LAC,Latin America & Caribbean,6316.939017,6510.472691,6553.21575,5214.13076,5029.925374,5365.90629,5561.638957
CUB,Cuba,LAC,Latin America & Caribbean,5560.80754,5890.49176,6159.919882,6703.923371,7014.969907,7417.98247,7638.541524
ESP,Spain,ECA,Europe & Central Asia,23493.50295,24338.74398,24558.14198,21574.75264,22572.45048,23802.7568,25714.57146
HRV,Croatia,ECA,Europe & Central Asia,10695.65816,11304.38437,11238.21638,9971.904025,10206.83521,11310.56855,12673.84863
JPN,Japan,EAP,East Asia & Pacific,37913.35678,31910.79276,30074.24417,27545.81238,30786.65451,30559.6891,31071.13945
KWT,Kuwait,MEA,Middle East & North Africa,44151.78542,42101.72596,39335.15295,27070.62127,25260.69968,28294.99303,29983.76097
RUS,Russian Federation,ECA,Europe & Central Asia,12127.9502,12500.1084,10995.67285,7423.222168,6891.325195,8397.439453,8698.057617
SVK,Slovak Republic,ECA,Europe & Central Asia,14051.18969,14810.05399,15141.79117,13139.90937,13213.36774,14165.23164,15793.77133
