Country Name,Country Code,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,42.957,42.99,43.041,43.108,43.192,43.293,43.411
Africa Eastern and Southern,AFE,33.0404736,33.47620794,33.93695926,34.42558069,34.89474989,35.3588983,35.84759569
Afghanistan,AFG,24.16,24.373,24.587,24.803,25.02,25.25,25.495
Africa Western and Central,AFW,42.92588498,43.55409389,44.18017501,44.80586326,45.42506638,46.03947782,46.64942583
Angola,AGO,61.268,62.002,62.731,63.446,64.149,64.839,65.514
Albania,ALB,54.33,55.387,56.423,57.434,58.421,59.383,60.319
Andorra,AND,88.631,88.537,88.441,88.345,88.248,88.15,88.062
Arab World,ARB,56.86422135,57.17797382,57.50726083,57.84615313,58.12325538,58.37128997,58.62957616
United Arab Emirates,ARE,84.749,85.066,85.375,85.674,85.965,86.248,86.522
Argentina,ARG,91.121,91.249,91.377,91.503,91.627,91.749,91.87
Armenia,ARM,63.24,63.164,63.112,63.085,63.082,63.103,63.149
American Samoa,ASM,87.42,87.348,87.288,87.238,87.198,87.17,87.153
Antigua and Barbuda,ATG,25.526,25.35,25.175,25,24.846,24.713,24.599
Australia,AUS,85.402,85.502,85.602,85.701,85.8,85.904,86.012
Austria,AUT,57.147,57.336,57.526,57.715,57.905,58.094,58.297
Azerbaijan,AZE,53.883,54.145,54.422,54.714,55.021,55.343,55.68
Burundi,BDI,11.194,11.482,11.776,12.078,12.388,12.706,13.032
Belgium,BEL,97.744,97.789,97.833,97.876,97.919,97.961,98.001
Benin,BEN,44.125,44.642,45.166,45.695,46.229,46.768,47.312
Burkina Faso,BFA,25.767,26.346,26.934,27.53,28.134,28.743,29.358
Bangladesh,BGD,31.993,32.762,33.535,34.308,35.083,35.858,36.632
Bulgaria,BGR,72.975,73.313,73.651,73.99,74.329,74.669,75.008
Bahrain,BHR,88.762,88.835,88.915,88.999,89.09,89.186,89.287
"Bahamas, The",BHS,82.532,82.596,82.668,82.746,82.832,82.925,83.025
Bosnia and Herzegovina,BIH,46.199,46.519,46.84,47.173,47.518,47.876,48.245
Belarus,BLR,75.697,76.199,76.693,77.181,77.661,78.134,78.595
Belize,BLZ,45.246,45.282,45.335,45.406,45.495,45.601,45.724
Bermuda,BMU,100,100,100,100,100,100,100
Bolivia,BOL,67.315,67.699,68.047,68.393,68.738,69.08,69.425
Brazil,BRA,84.923,85.209,85.492,85.77,86.042,86.309,86.569
Barbados,BRB,31.553,31.429,31.328,31.249,31.193,31.159,31.147
Brunei Darussalam,BRN,75.656,75.997,76.332,76.663,76.99,77.312,77.629
Bhutan,BTN,36.371,37.149,37.918,38.678,39.428,40.167,40.895
Botswana,BWA,64.768,65.572,66.368,67.155,67.933,68.7,69.446
Central African Republic,CAF,39.388,39.663,39.959,40.277,40.618,40.98,41.364
Canada,CAN,81.137,81.178,81.218,81.259,81.3,81.35,81.411
Central Europe and the Baltics,CEB,62.08177697,62.09681374,62.11364514,62.14067246,62.18448432,62.24845473,62.3336666
Switzerland,CHE,73.653,73.674,73.696,73.718,73.739,73.761,73.797
Channel Islands,CHI,31.059,31.027,30.995,30.962,30.93,30.914,30.914
Chile,CHL,87.189,87.246,87.303,87.36,87.422,87.49,87.564
China,CHN,51.765,53.013,54.259,55.5,56.736,57.96,59.152
Cote d'Ivoire,CIV,48.172,48.593,49.014,49.444,49.881,50.326,50.779
Cameroon,CMR,52.769,53.373,53.976,54.578,55.179,55.777,56.374
"Congo, Dem. Rep.",COD,41.082,41.627,42.18,42.74,43.307,43.88,44.46
"Congo, Rep.",COG,64.169,64.627,65.085,65.543,66.001,66.459,66.916
Colombia,COL,78.701,79.061,79.415,79.764,80.108,80.446,80.778
Comoros,COM,28.123,28.223,28.338,28.47,28.619,28.784,28.965
Cabo Verde,CPV,62.821,63.317,63.81,64.3,64.784,65.261,65.732
Costa Rica,CRI,73.946,74.97,75.941,76.862,77.735,78.56,79.34
Caribbean small states,CSS,50.70327998,50.77219137,50.85675153,50.95625359,51.06919696,51.19689083,51.28311077
Cuba,CUB,76.781,76.827,76.861,76.896,76.93,76.977,77.037
Curacao,CUW,89.654,89.544,89.443,89.352,89.272,89.203,89.145
Cayman Islands,CYM,100,100,100,100,100,100,100
Cyprus,CYP,67.261,67.137,67.031,66.946,66.881,66.836,66.81
Czechia,CZE,73.197,73.29,73.384,73.477,73.57,73.675,73.792
Germany,DEU,77.17,77.18,77.19,77.2,77.224,77.261,77.312
Djibouti,DJI,77.138,77.222,77.314,77.417,77.528,77.648,77.777
Dominica,DMA,68.685,68.982,69.28,69.579,69.88,70.181,70.483
Denmark,DNK,87.142,87.292,87.41,87.526,87.642,87.757,87.874
Dominican Republic,DOM,75.802,76.749,77.67,78.566,79.436,80.277,81.074
Algeria,DZA,68.915,69.576,70.221,70.848,71.459,72.052,72.629
East Asia & Pacific (excluding high income),EAP,49.69091421,50.69952274,51.70547569,52.70615443,53.70204544,54.68962828,55.65273936
Early-demographic dividend,EAR,42.69385807,43.06942256,43.46512255,43.88003122,44.2841091,44.67786291,45.07351647
East Asia & Pacific,EAS,53.77599446,54.66374666,55.55231434,56.43863813,57.322206,58.19725829,59.05474264
Europe & Central Asia (excluding high income),ECA,66.61497578,66.77432415,66.93944292,67.10973982,67.28313223,67.45709068,67.63017777
Europe & Central Asia,ECS,71.11104783,71.28382108,71.45630583,71.63636097,71.82179225,72.0111433,72.20597847
Ecuador,ECU,62.988,63.125,63.261,63.398,63.534,63.67,63.821
"Egypt, Arab Rep.",EGY,42.946,42.893,42.839,42.785,42.732,42.705,42.704
Euro area,EMU,75.7231748,75.92855376,76.12743569,76.33853417,76.55218265,76.76960762,76.99277496
Eritrea,ERI,36.372,36.979,37.59,38.206,38.827,39.451,40.08
Spain,ESP,78.902,79.133,79.366,79.602,79.84,80.08,80.321
Estonia,EST,67.974,68.122,68.269,68.416,68.563,68.717,68.88
Ethiopia,ETH,18.16,18.575,18.998,19.428,19.866,20.31,20.763
European Union,EUU,73.35662153,73.53911715,73.71747628,73.90777231,74.1046243,74.30702668,74.5169354
Fragile and conflict affected situations,FCS,40.76290329,41.10663665,41.45226045,41.83087904,42.20572037,42.57169555,42.91978425
Finland,FIN,84.841,85.125,85.175,85.225,85.275,85.325,85.382
Fiji,FJI,53.196,53.706,54.216,54.726,55.235,55.742,56.248
France,FRA,78.878,79.135,79.394,79.655,79.917,80.18,80.444
Faroe Islands,FRO,41.225,41.363,41.501,41.638,41.777,41.914,42.064
"Micronesia, Fed. Sts.",FSM,22.324,22.355,22.399,22.456,22.526,22.608,22.703
Gabon,GAB,86.634,87.156,87.651,88.118,88.559,88.976,89.37
United Kingdom,GBR,81.837,82.102,82.365,82.626,82.886,83.143,83.398
Georgia,GEO,56.303,56.685,57.067,57.448,57.837,58.231,58.632
Ghana,GHA,52.073,52.748,53.419,54.086,54.749,55.407,56.06
Gibraltar,GIB,100,100,100,100,100,100,100
Guinea,GIN,34.255,34.545,34.836,35.141,35.46,35.793,36.14
"Gambia, The",GMB,57.105,57.82,58.528,59.228,59.918,60.599,61.27
Guinea-Bissau,GNB,40.908,41.31,41.715,42.123,42.533,42.945,43.36
Equatorial Guinea,GNQ,69,69.544,70.083,70.616,71.138,71.646,72.143
Greece,GRC,77.004,77.355,77.702,78.046,78.387,78.724,79.058
Grenada,GRD,35.869,35.896,35.938,35.997,36.072,36.164,36.272
Greenland,GRL,85.2,85.551,85.813,86.071,86.326,86.574,86.816
Guatemala,GTM,49,49.311,49.634,49.971,50.319,50.68,51.054
Guam,GUM,94.277,94.364,94.449,94.534,94.617,94.699,94.78
Guyana,GUY,26.4,26.4,26.414,26.441,26.482,26.538,26.606
High income,HIC,79.84661864,80.01627248,80.1843717,80.35950616,80.5382972,80.71938326,80.90377193
"Hong Kong SAR, China",HKG,100,100,100,100,100,100,100
Honduras,HND,53.202,53.858,54.514,55.165,55.813,56.457,57.096
Heavily indebted poor countries (HIPC),HPC,33.35929314,33.79221205,34.23312075,34.68723235,35.15007875,35.61293249,36.0789578
Croatia,HRV,55.506,55.706,55.923,56.155,56.403,56.667,56.947
Haiti,HTI,49.477,50.46,51.444,52.427,53.396,54.346,55.278
Hungary,HUN,69.678,69.953,70.227,70.5,70.779,71.062,71.351
IBRD only,IBD,51.25236557,51.87395585,52.5039171,53.13097163,53.74788682,54.3583856,54.96070758
IDA & IBRD total,IBT,47.12037214,47.65986949,48.20749188,48.76006027,49.30419357,49.84185175,50.37131101
IDA total,IDA,34.24329868,34.66864507,35.10254471,35.57503919,36.05945214,36.55058288,37.04940268
IDA blend,IDB,39.3747271,39.83206081,40.29669571,40.7668401,41.23901608,41.71055161,42.18788402
Indonesia,IDN,51.276,51.955,52.635,53.313,53.989,54.659,55.325
IDA only,IDX,31.59487573,32.00609029,32.42772621,32.90812602,33.4093122,33.92056054,34.43861976
Isle of Man,IMN,52.046,52.096,52.162,52.245,52.343,52.458,52.588
India,IND,31.634,32.003,32.384,32.777,33.182,33.6,34.03
Not classified,INX,,,,,,,
Ireland,IRL,61.942,62.141,62.34,62.538,62.737,62.947,63.17
"Iran, Islamic Rep.",IRN,71.755,72.295,72.83,73.358,73.88,74.394,74.898
Iraq,IRQ,69.432,69.595,69.758,69.921,70.094,70.278,70.473
Iceland,ISL,93.6,93.633,93.667,93.7,93.735,93.773,93.813
Israel,ISR,91.96,92.031,92.104,92.179,92.256,92.336,92.418
Italy,ITA,68.684,68.979,69.272,69.565,69.855,70.144,70.438
Jamaica,JAM,54.132,54.35,54.584,54.833,55.098,55.378,55.674
Jordan,JOR,88.185,89.125,90,90.256,90.506,90.747,90.979
Japan,JPN,91.148,91.226,91.304,91.381,91.457,91.535,91.616
Kazakhstan,KAZ,56.973,57.046,57.118,57.191,57.264,57.336,57.428
Kenya,KEN,24.376,24.794,25.221,25.658,26.105,26.562,27.03
Kyrgyz Republic,KGZ,35.423,35.517,35.635,35.777,35.944,36.135,36.351
Cambodia,KHM,21.037,21.415,21.799,22.188,22.582,22.98,23.388
Kiribati,KIR,49.082,49.927,50.773,51.619,52.45,53.262,54.057
St. Kitts and Nevis,KNA,31.062,30.964,30.885,30.827,30.79,30.773,30.776
"Korea, Rep.",KOR,81.851,81.779,81.707,81.634,81.562,81.503,81.459
Kuwait,KWT,100,100,100,100,100,100,100
Latin America & Caribbean (excluding high income),LAC,78.37030537,78.66365105,78.95417752,79.24155098,79.52459528,79.80388644,80.07705366
Lao PDR,LAO,31.264,31.872,32.487,33.108,33.736,34.368,35.004
Lebanon,LBN,87.636,87.79,87.947,88.106,88.266,88.429,88.593
Liberia,LBR,48.583,48.985,49.397,49.82,50.254,50.697,51.151
Libya,LBY,78.512,78.756,79.009,79.27,79.54,79.817,80.102
St. Lucia,LCA,18.45,18.461,18.482,18.515,18.558,18.612,18.678
Latin America & Caribbean,LCN,79.12050881,79.38633421,79.64959608,79.91008068,80.16578312,80.41445313,80.65070817
Least developed countries: UN classification,LDC,30.47854372,30.98532967,31.5020462,32.02789238,32.56281282,33.1031179,33.64349692
Low income,LIC,30.91620149,31.16210419,31.42574843,31.78924218,32.19096786,32.61194601,33.04580313
Liechtenstein,LIE,14.367,14.334,14.313,14.303,14.303,14.315,14.338
Sri Lanka,LKA,18.196,18.198,18.218,18.256,18.311,18.384,18.476
Lower middle income,LMC,38.76441433,39.21499433,39.67700967,40.14261867,40.60446763,41.06864419,41.54103832
Low & middle income,LMY,46.77501022,47.32450851,47.8820331,48.44433019,48.99820365,49.5469574,50.08994323
Lesotho,LSO,25.704,26.101,26.502,26.908,27.317,27.73,28.153
Late-demographic dividend,LTE,57.13148743,58.02798868,58.92287936,59.81153279,60.69483652,61.57029865,62.4311982
Lithuania,LTU,66.864,66.986,67.108,67.23,67.366,67.516,67.679
Luxembourg,LUX,89.249,89.574,89.884,90.179,90.46,90.727,90.981
Latvia,LVA,67.897,67.925,67.952,67.98,68.021,68.075,68.142
"Macao SAR, China",MAC,100,100,100,100,100,100,100
St. Martin (French part),MAF,,,,,,,
Morocco,MAR,59.142,59.7,60.256,60.809,61.36,61.908,62.453
Monaco,MCO,100,100,100,100,100,100,100
Moldova,MDA,42.558,42.527,42.496,42.49,42.511,42.557,42.629
Madagascar,MDG,33.227,33.878,34.534,35.193,35.856,36.522,37.191
Maldives,MDV,37.267,37.685,38.106,38.529,38.954,39.38,39.808
Middle East & North Africa,MEA,62.9313265,63.2755312,63.65346648,64.05737008,64.39947162,64.71130668,65.021227
Mexico,MEX,78.405,78.699,78.993,79.285,79.577,79.867,80.156
Marshall Islands,MHL,74.498,74.946,75.384,75.811,76.228,76.634,77.031
Middle income,MIC,48.45051904,49.05463747,49.66621747,50.27473179,50.87330876,51.46633667,52.05406316
North Macedonia,MKD,57.125,57.189,57.284,57.408,57.563,57.748,57.963
Mali,MLI,37.599,38.398,39.196,39.991,40.783,41.572,42.356
Malta,MLT,94.211,94.279,94.347,94.414,94.48,94.546,94.612
Myanmar,MMR,29.266,29.457,29.65,29.858,30.082,30.322,30.579
Middle East & North Africa (excluding high income),MNA,59.24577145,59.56942387,59.94972698,60.35665378,60.68819176,60.99176097,61.29446776
Montenegro,MNE,64.804,65.137,65.471,65.806,66.141,66.477,66.813
Mongolia,MNG,68.03,68.097,68.163,68.23,68.297,68.363,68.445
Northern Mariana Islands,MNP,91.108,91.19,91.273,91.357,91.443,91.53,91.618
Mozambique,MOZ,32.846,33.36,33.878,34.4,34.926,35.455,35.988
Mauritania,MRT,48.4,49.306,50.203,51.089,51.962,52.824,53.672
Mauritius,MUS,41.332,41.222,41.111,41,40.91,40.841,40.793
Malawi,MWI,15.812,15.966,16.132,16.313,16.506,16.714,16.937
Malaysia,MYS,72.275,72.93,73.577,74.213,74.84,75.447,76.036
North America,NAC,81.12430122,81.29037419,81.45987195,81.63309369,81.80877001,81.98963981,82.17306441
Namibia,NAM,43.693,44.756,45.826,46.9,47.961,49.005,50.032
New Caledonia,NCL,68.024,68.479,68.931,69.379,69.821,70.256,70.683
Niger,NER,16.212,16.208,16.219,16.247,16.29,16.35,16.425
Nigeria,NGA,45.246,46.118,46.982,47.838,48.683,49.519,50.344
Nicaragua,NIC,57.309,57.505,57.7,57.895,58.09,58.299,58.522
Netherlands,NLD,88.588,89.187,89.69,90.173,90.635,91.077,91.49
Norway,NOR,79.874,80.286,80.692,81.091,81.485,81.871,82.248
Nepal,NPL,17.458,17.815,18.182,18.557,18.942,19.336,19.74
Nauru,NRU,100,100,100,100,100,100,100
New Zealand,NZL,86.161,86.221,86.281,86.341,86.4,86.466,86.538
OECD members,OED,79.40475312,79.59764253,79.78886661,79.98440773,80.1836837,80.38767856,80.59543907
Oman,OMN,77.564,78.882,80.145,81.35,82.5,83.56,84.539
Other small states,OSS,58.57650752,59.18420234,59.85960367,60.54643544,61.18552173,61.73475146,62.19359805
Pakistan,PAK,35.408,35.613,35.819,36.026,36.234,36.442,36.666
Panama,PAN,65.741,66.052,66.371,66.696,67.027,67.365,67.709
Peru,PER,76.804,76.989,77.173,77.357,77.539,77.72,77.907
Philippines,PHL,45.712,45.903,46.093,46.284,46.475,46.682,46.907
Palau,PLW,76.194,76.862,77.517,78.159,78.775,79.365,79.93
Papua New Guinea,PNG,12.982,12.978,12.988,13.012,13.05,13.102,13.169
Poland,POL,60.654,60.529,60.403,60.278,60.178,60.105,60.058
Pre-demographic dividend,PRE,38.07021528,38.62515291,39.17323373,39.72171823,40.27353744,40.8286445,41.38268311
Puerto Rico,PRI,93.726,93.686,93.651,93.624,93.602,93.587,93.578
"Korea, Dem. People's Rep.",PRK,60.738,60.918,61.098,61.277,61.471,61.678,61.899
Portugal,PRT,61.763,62.352,62.936,63.514,64.086,64.652,65.211
Paraguay,PRY,59.907,60.197,60.474,60.75,61.026,61.3,61.585
West Bank and Gaza,PSE,74.619,74.863,75.113,75.368,75.628,75.894,76.164
Pacific island small states,PSS,37.37079485,37.5978479,37.82249269,38.04409776,38.25976027,38.46854478,38.67702273
Post-demographic dividend,PST,80.2358783,80.40334951,80.57108123,80.743926,80.91942594,81.09877764,81.28146066
French Polynesia,PYF,61.459,61.583,61.633,61.683,61.734,61.784,61.834
Qatar,QAT,98.697,98.785,98.868,98.945,99.015,99.078,99.135
Romania,ROU,53.974,53.937,53.9,53.887,53.9,53.936,53.998
Russian Federation,RUS,73.791,73.863,73.95,74.05,74.164,74.292,74.433
Rwanda,RWA,16.943,16.947,16.967,17.004,17.056,17.125,17.211
South Asia,SAS,31.59518937,31.97462583,32.36225526,32.75880122,33.16417959,33.57913817,34.0058992
Saudi Arabia,SAU,82.52,82.74,82.96,83.18,83.401,83.622,83.844
Sudan,SDN,33.346,33.507,33.689,33.894,34.121,34.37,34.642
Senegal,SEN,44.603,45.019,45.436,45.862,46.296,46.74,47.192
Singapore,SGP,100,100,100,100,100,100,100
Solomon Islands,SLB,20.97,21.433,21.896,22.36,22.823,23.286,23.749
Sierra Leone,SLE,39.642,40.036,40.432,40.829,41.228,41.636,42.055
El Salvador,SLV,67.187,68.036,68.874,69.7,70.501,71.275,72.023
San Marino,SMR,96.171,96.37,96.559,96.739,96.91,97.072,97.226
Somalia,SOM,41.558,42.117,42.679,43.245,43.816,44.391,44.971
Serbia,SRB,55.356,55.469,55.583,55.696,55.81,55.942,56.092
Sub-Saharan Africa (excluding high income),SSA,37.04690944,37.56027335,38.08749541,38.6297654,39.15937996,39.68570297,40.2230865
South Sudan,SSD,18.217,18.415,18.626,18.852,19.092,19.346,19.615
Sub-Saharan Africa,SSF,37.04853169,37.56187218,38.08906674,38.63131855,39.1609033,39.6871962,40.22454518
Small states,SST,55.72401245,56.23292579,56.80310012,57.38940563,57.94205439,58.42586653,58.82250087
Sao Tome and Principe,STP,67.16,68.208,69.213,70.174,71.092,71.968,72.803
Suriname,SUR,66.208,66.14,66.089,66.056,66.04,66.041,66.06
Slovak Republic,SVK,54.28,54.14,54,53.889,53.806,53.751,53.726
Slovenia,SVN,53.108,53.332,53.557,53.781,54.02,54.273,54.541
Sweden,SWE,85.62,85.936,86.247,86.553,86.852,87.146,87.431
Eswatini,SWZ,22.849,22.999,23.149,23.3,23.459,23.625,23.799
Sint Maarten (Dutch part),SXM,100,100,100,100,100,100,100
Seychelles,SYC,54.12,54.537,54.969,55.4,55.831,56.261,56.691
Syrian Arab Republic,SYR,53.555,52.529,51.5,52.168,52.835,53.5,54.162
Turks and Caicos Islands,TCA,91.09,91.483,91.851,92.195,92.517,92.817,93.098
Chad,TCD,22.142,22.248,22.372,22.515,22.677,22.858,23.059
East Asia & Pacific (IDA & IBRD countries),TEA,49.55104401,50.57062885,51.58735235,52.59860876,53.60477535,54.60234916,55.57485293
Europe & Central Asia (IDA & IBRD countries),TEC,65.4262679,65.56223479,65.70442633,65.85379106,66.0091656,66.16746407,66.32682663
Togo,TGO,38.546,39.061,39.579,40.1,40.628,41.162,41.702
Thailand,THA,45.445,46.193,46.943,47.694,48.448,49.2,49.949
Tajikistan,TJK,26.545,26.589,26.655,26.742,26.851,26.982,27.134
Turkmenistan,TKM,49.175,49.541,49.921,50.317,50.728,51.153,51.593
Latin America & the Caribbean (IDA & IBRD countries),TLA,79.09363418,79.36730196,79.63872858,79.9070645,80.17033261,80.42619126,80.66988391
Timor-Leste,TLS,28.428,28.779,29.133,29.49,29.85,30.212,30.578
Middle East & North Africa (IDA & IBRD countries),TMN,59.0720774,59.395867,59.77709928,60.185203,60.5168085,60.82028707,61.12194591
Tonga,TON,23.435,23.382,23.328,23.275,23.222,23.169,23.131
South Asia (IDA & IBRD),TSA,31.59518937,31.97462583,32.36225526,32.75880122,33.16417959,33.57913817,34.0058992
Sub-Saharan Africa (IDA & IBRD countries),TSS,37.04853169,37.56187218,38.08906674,38.63131855,39.1609033,39.6871962,40.22454518
Trinidad and Tobago,TTO,53.671,53.53,53.413,53.319,53.25,53.205,53.184
Tunisia,TUN,67.218,67.495,67.772,68.056,68.346,68.642,68.945
Turkiye,TUR,71.974,72.531,73.077,73.611,74.134,74.644,75.143
Tuvalu,TUV,56.815,57.814,58.786,59.73,60.645,61.53,62.387
Tanzania,TZA,29.493,30.196,30.904,31.617,32.333,33.053,33.776
Uganda,UGA,20.424,20.958,21.504,22.06,22.624,23.196,23.774
Ukraine,UKR,68.782,68.875,68.968,69.061,69.154,69.246,69.352
Upper middle income,UMC,60.77000064,61.6538865,62.54098763,63.42011665,64.28892548,65.14432578,65.98428722
Uruguay,URY,94.739,94.843,94.945,95.045,95.144,95.24,95.334
United States,USA,81.119,81.299,81.483,81.671,81.862,82.058,82.256
Uzbekistan,UZB,51.05,50.95,50.85,50.75,50.65,50.55,50.478
St. Vincent and the Grenadines,VCT,49.754,50.154,50.558,50.964,51.373,51.784,52.198
"Venezuela, RB",VEN,88.123,88.133,88.144,88.154,88.165,88.183,88.208
British Virgin Islands,VGB,45.502,45.856,46.216,46.583,46.957,47.337,47.723
Virgin Islands (U.S.),VIR,94.919,95.07,95.213,95.35,95.48,95.603,95.721
Vietnam,VNM,31.752,32.429,33.115,33.809,34.51,35.213,35.919
Vanuatu,VUT,24.661,24.761,24.861,24.961,25.062,25.163,25.274
World,WLD,52.46396135,52.91188269,53.36821395,53.83138516,54.28997113,54.74177699,55.188904
Samoa,WSM,19.624,19.385,19.149,18.914,18.681,18.452,18.243
Kosovo,XKX,,,,,,,
"Yemen, Rep.",YEM,32.958,33.559,34.165,34.777,35.394,36.016,36.642
South Africa,ZAF,63.272,63.793,64.312,64.828,65.341,65.85,66.355
Zambia,ZMB,40.354,40.865,41.382,41.907,42.438,42.976,43.521
Zimbabwe,ZWE,32.834,32.654,32.504,32.385,32.296,32.237,32.209
